percentile,threshold_high,min_area,kernel_size,iterations,distance_thresh,F1,IoU,Precision,Recall
90,0.21559858,0,0,1,3,0.13108121776056328,0.07013746076407604,0.07035066767987151,0.9585798816426245
90,0.21559858,0,0,1,4,0.1288014311268845,0.06883365200757506,0.06903899424667692,0.9585798816426245
90,0.21559858,0,0,1,5,0.12733346433471474,0.0679958027281553,0.06819616922745927,0.9585798816426245
90,0.21559858,0,0,1,6,0.126476041768199,0.06750703198242784,0.06770452408309716,0.9585798816426245
90,0.21559858,0,0,1,7,0.12584967954930484,0.06715025906728792,0.06734566618159701,0.9585798816426245
90,0.21559858,0,0,1,8,0.1254476817344638,0.06692140865427354,0.06711548420500557,0.9585798816426245
90,0.21559858,0,0,1,10,0.12486752095565577,0.06659130613496393,0.06678346903012801,0.9585798816426245
90,0.21559858,0,0,2,3,0.13108121776056328,0.07013746076407604,0.07035066767987151,0.9585798816426245
90,0.21559858,0,0,2,4,0.1288014311268845,0.06883365200757506,0.06903899424667692,0.9585798816426245
90,0.21559858,0,0,2,5,0.12733346433471474,0.0679958027281553,0.06819616922745927,0.9585798816426245
90,0.21559858,0,0,2,6,0.126476041768199,0.06750703198242784,0.06770452408309716,0.9585798816426245
90,0.21559858,0,0,2,7,0.12584967954930484,0.06715025906728792,0.06734566618159701,0.9585798816426245
90,0.21559858,0,0,2,8,0.1254476817344638,0.06692140865427354,0.06711548420500557,0.9585798816426245
90,0.21559858,0,0,2,10,0.12486752095565577,0.06659130613496393,0.06678346903012801,0.9585798816426245
90,0.21559858,0,3,1,3,0.12951188496514768,0.06923961928661307,0.0693411542892329,0.9792899408139158
90,0.21559858,0,3,1,4,0.12633587786247485,0.0674271745772383,0.06752345981225262,0.9792899408139158
90,0.21559858,0,3,1,5,0.1247879359094017,0.06654603940483861,0.06663982283061541,0.9792899408139158
90,0.21559858,0,3,1,6,0.12388883690453457,0.06603491271813862,0.06612726001391855,0.9792899408139158
90,0.21559858,0,3,1,7,0.12332339791344697,0.0657137184831589,0.06580516898601808,0.9792899408139158
90,0.21559858,0,3,1,8,0.12297975106806336,0.06551860649241338,0.06560951437059899,0.9792899408139158
90,0.21559858,0,3,1,10,0.12244520484590543,0.06521524972902648,0.06530531715491239,0.9792899408139158
90,0.21559858,0,3,2,3,0.12308826239163156,0.06558020812873985,0.0656317547651153,0.988165680458755
90,0.21559858,0,3,2,4,0.11929137363115881,0.06342895010881053,0.06346499952632048,0.9911242603403679
90,0.21559858,0,3,2,5,0.117122629140707,0.06220406647473567,0.06223873664648189,0.9911242603403679
90,0.21559858,0,3,2,6,0.11569677085122111,0.06140029325507569,0.06143407298729008,0.9911242603403679
90,0.21559858,0,3,2,7,0.11498198043580317,0.06099781500358612,0.06103115321546636,0.9911242603403679
90,0.21559858,0,3,2,8,0.11463769355794795,0.06080406570463671,0.06083719240891597,0.9911242603403679
90,0.21559858,0,3,2,10,0.11412997189326791,0.06051847168272015,0.06055128784450017,0.9911242603403679
90,0.21559858,0,5,1,3,0.12308826239163156,0.06558020812873985,0.0656317547651153,0.988165680458755
90,0.21559858,0,5,1,4,0.11929137363115881,0.06342895010881053,0.06346499952632048,0.9911242603403679
90,0.21559858,0,5,1,5,0.117122629140707,0.06220406647473567,0.06223873664648189,0.9911242603403679
90,0.21559858,0,5,1,6,0.11569677085122111,0.06140029325507569,0.06143407298729008,0.9911242603403679
90,0.21559858,0,5,1,7,0.11498198043580317,0.06099781500358612,0.06103115321546636,0.9911242603403679
90,0.21559858,0,5,1,8,0.11463769355794795,0.06080406570463671,0.06083719240891597,0.9911242603403679
90,0.21559858,0,5,1,10,0.11412997189326791,0.06051847168272015,0.06055128784450017,0.9911242603403679
90,0.21559858,0,5,2,3,0.10628930817601706,0.056127532381222076,0.056127532381222076,0.999999999985207
90,0.21559858,0,5,2,4,0.10219198790619637,0.05384737932128895,0.05384737932128895,0.999999999985207
90,0.21559858,0,5,2,5,0.10051297301308414,0.05291585127197423,0.05291585127197423,0.999999999985207
90,0.21559858,0,5,2,6,0.09917840375579579,0.05217659771530397,0.05217659771530397,0.999999999985207
90,0.21559858,0,5,2,7,0.09844899148030405,0.051772995328136805,0.051772995328136805,0.999999999985207
90,0.21559858,0,5,2,8,0.09766669074615497,0.051340472393064975,0.051340472393064975,0.999999999985207
90,0.21559858,0,5,2,10,0.09625516161177826,0.05056095736720227,0.05056095736720227,0.999999999985207
90,0.21559858,0,7,1,3,0.1154208408253143,0.061244888686904815,0.06125602108510292,0.9970414201035941
90,0.21559858,0,7,1,4,0.11163561076595309,0.05911762126124101,0.059127993683604586,0.9970414201035941
90,0.21559858,0,7,1,5,0.10948667966202932,0.05791373088154501,0.05792368511511006,0.9970414201035941
90,0.21559858,0,7,1,6,0.10765913265705002,0.05689204017890023,0.056901646264198476,0.9970414201035941
90,0.21559858,0,7,1,7,0.1067215580713271,0.05636865434468816,0.05637808448343255,0.9970414201035941
90,0.21559858,0,7,1,8,0.1061250196818563,0.05603591619549714,0.056045235323419214,0.9970414201035941
90,0.21559858,0,7,1,10,0.10563435467431577,0.05576238934387708,0.05577161770785621,0.9970414201035941
90,0.21559858,0,7,2,3,0.0864505403158217,0.04517810599475695,0.04517810599475695,0.999999999985207
90,0.21559858,0,7,2,4,0.08544523794470994,0.04462929953123085,0.04462929953123085,0.999999999985207
90,0.21559858,0,7,2,5,0.08445777111439001,0.044090790503493286,0.044090790503493286,0.999999999985207
90,0.21559858,0,7,2,6,0.08353929807211842,0.04359040495225458,0.04359040495225458,0.999999999985207
90,0.21559858,0,7,2,7,0.08283806139324622,0.043208692873094784,0.043208692873094784,0.999999999985207
90,0.21559858,0,7,2,8,0.08191457134196793,0.042706424916265896,0.042706424916265896,0.999999999985207
90,0.21559858,0,7,2,10,0.07970758165305995,0.04150804371850576,0.04150804371850576,0.999999999985207
90,0.21559858,0,9,1,3,0.10628930817601706,0.056127532381222076,0.056127532381222076,0.999999999985207
90,0.21559858,0,9,1,4,0.10219198790619637,0.05384737932128895,0.05384737932128895,0.999999999985207
90,0.21559858,0,9,1,5,0.10051297301308414,0.05291585127197423,0.05291585127197423,0.999999999985207
90,0.21559858,0,9,1,6,0.09917840375579579,0.05217659771530397,0.05217659771530397,0.999999999985207
90,0.21559858,0,9,1,7,0.09844899148030405,0.051772995328136805,0.051772995328136805,0.999999999985207
90,0.21559858,0,9,1,8,0.09766669074615497,0.051340472393064975,0.051340472393064975,0.999999999985207
