percentile,threshold_high,min_area,kernel_size,iterations,distance_thresh,F1,IoU,Precision,Recall
99,0.4845546,100,0,1,3,0.4230307876832346,0.268255578091946,0.28986301369704187,0.7825443786866487
99,0.4845546,100,0,2,3,0.4230307876832346,0.268255578091946,0.28986301369704187,0.7825443786866487
99,0.4845546,100,3,1,3,0.41788743253501204,0.26413255360495064,0.2825860271101012,0.8017751479171334
99,0.4845546,75,0,1,3,0.41071428571269136,0.25842696629087236,0.2784210526301136,0.7825443786866487
99,0.4845546,75,0,2,3,0.41071428571269136,0.25842696629087236,0.2784210526301136,0.7825443786866487
99,0.4845546,50,3,1,3,0.40614462345295566,0.2548189938869073,0.27195183140857027,0.8017751479171334
99,0.4845546,75,3,1,3,0.40614462345295566,0.2548189938869073,0.27195183140857027,0.8017751479171334
99,0.4845546,50,0,1,3,0.40060583112305714,0.2504734848472989,0.2692111959273832,0.7825443786866487
99,0.4845546,50,0,2,3,0.40060583112305714,0.2504734848472989,0.2692111959273832,0.7825443786866487
99,0.4845546,100,3,2,3,0.3994169096195357,0.24954462659267057,0.26499032881883466,0.8106508875619726
99,0.4845546,100,5,1,3,0.3994169096195357,0.24954462659267057,0.26499032881883466,0.8106508875619726
99,0.4845546,40,0,1,3,0.39433469996125853,0.24558960074166394,0.2635774788228023,0.7825443786866487
99,0.4845546,40,0,2,3,0.39433469996125853,0.24558960074166394,0.2635774788228023,0.7825443786866487
99,0.4845546,10,3,1,3,0.3940385314416793,0.24535989135244293,0.26120481927584965,0.8017751479171334
99,0.4845546,20,3,1,3,0.3940385314416793,0.24535989135244293,0.26120481927584965,0.8017751479171334
99,0.4845546,30,3,1,3,0.3940385314416793,0.24535989135244293,0.26120481927584965,0.8017751479171334
99,0.4845546,40,3,1,3,0.3940385314416793,0.24535989135244293,0.26120481927584965,0.8017751479171334
99,0.4845546,0,3,1,3,0.39389534883577804,0.24524886877717084,0.2610789980719601,0.8017751479171334
99,0.4845546,75,0,1,4,0.3926002055485009,0.2442455242956341,0.25546143557621287,0.8476331360821356
99,0.4845546,75,0,2,4,0.3926002055485009,0.2442455242956341,0.25546143557621287,0.8476331360821356
99,0.4845546,100,0,1,4,0.3926002055485009,0.2442455242956341,0.25546143557621287,0.8476331360821356
99,0.4845546,100,0,2,4,0.3926002055485009,0.2442455242956341,0.25546143557621287,0.8476331360821356
99,0.4845546,100,7,1,3,0.39073083778826834,0.24280017722533098,0.25739783935999344,0.8106508875619726
99,0.4845546,10,0,1,3,0.38882763689677025,0.24133211678722022,0.25867970660020206,0.7825443786866487
99,0.4845546,10,0,2,3,0.38882763689677025,0.24133211678722022,0.25867970660020206,0.7825443786866487
99,0.4845546,20,0,1,3,0.38882763689677025,0.24133211678722022,0.25867970660020206,0.7825443786866487
99,0.4845546,20,0,2,3,0.38882763689677025,0.24133211678722022,0.25867970660020206,0.7825443786866487
99,0.4845546,30,0,1,3,0.38882763689677025,0.24133211678722022,0.25867970660020206,0.7825443786866487
99,0.4845546,30,0,2,3,0.38882763689677025,0.24133211678722022,0.25867970660020206,0.7825443786866487
99,0.4845546,0,3,2,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,0,5,1,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,10,3,2,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,10,5,1,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,20,3,2,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,20,5,1,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,30,3,2,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,30,5,1,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,40,3,2,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,40,5,1,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,50,3,2,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,50,5,1,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,75,3,2,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,75,5,1,3,0.3887903511869855,0.24130339057577588,0.255716285579768,0.8106508875619726
99,0.4845546,0,0,1,3,0.3874038813607199,0.24023614895440404,0.2574209245729566,0.7825443786866487
99,0.4845546,0,0,2,3,0.3874038813607199,0.24023614895440404,0.2574209245729566,0.7825443786866487
99,0.4845546,0,9,2,3,0.3866795990934799,0.23967935871647425,0.24741414977142154,0.8846153846022986
99,0.4845546,10,9,2,3,0.3866795990934799,0.23967935871647425,0.24741414977142154,0.8846153846022986
99,0.4845546,20,9,2,3,0.3866795990934799,0.23967935871647425,0.24741414977142154,0.8846153846022986
99,0.4845546,30,9,2,3,0.3866795990934799,0.23967935871647425,0.24741414977142154,0.8846153846022986
99,0.4845546,40,9,2,3,0.3866795990934799,0.23967935871647425,0.24741414977142154,0.8846153846022986
