percentile,threshold_high,min_area,kernel_size,iterations,distance_thresh,F1,IoU,Precision,Recall
90,0.36654967,0,0,1,3,0.14839438033106597,0.08014362170579219,0.10873161764695888,0.23360979462829065
90,0.36654967,0,0,1,4,0.15783691406240366,0.08568020674568572,0.11422261484088848,0.2553317535539982
90,0.36654967,0,0,1,5,0.16387381477716984,0.0892497564143623,0.11738573259280871,0.2713270142174737
90,0.36654967,0,0,1,6,0.16720674011655734,0.09123055162653257,0.11915358132494822,0.2802132701416268
90,0.36654967,0,0,1,7,0.16936705909769822,0.09251830627182901,0.12014221928218939,0.2869273301732091
90,0.36654967,0,0,1,8,0.17109519408492888,0.0935506285136166,0.1209177008490195,0.292456556081571
90,0.36654967,0,0,1,10,0.17318340087894674,0.09480064991870091,0.12179847450813183,0.2995655608208934
90,0.36654967,0,0,2,3,0.14839438033106597,0.08014362170579219,0.10873161764695888,0.23360979462829065
90,0.36654967,0,0,2,4,0.15783691406240366,0.08568020674568572,0.11422261484088848,0.2553317535539982
90,0.36654967,0,0,2,5,0.16387381477716984,0.0892497564143623,0.11738573259280871,0.2713270142174737
90,0.36654967,0,0,2,6,0.16720674011655734,0.09123055162653257,0.11915358132494822,0.2802132701416268
90,0.36654967,0,0,2,7,0.16936705909769822,0.09251830627182901,0.12014221928218939,0.2869273301732091
90,0.36654967,0,0,2,8,0.17109519408492888,0.0935506285136166,0.1209177008490195,0.292456556081571
90,0.36654967,0,0,2,10,0.17318340087894674,0.09480064991870091,0.12179847450813183,0.2995655608208934
90,0.36654967,0,3,1,3,0.15044519496459904,0.08134130146076936,0.1091703056767586,0.24190363349083352
90,0.36654967,0,3,1,4,0.1611752111334833,0.08765120641691723,0.11531914893607206,0.2675750394939424
90,0.36654967,0,3,1,5,0.16860633431754465,0.09206449573184187,0.11927582534601516,0.28751974723481927
90,0.36654967,0,3,1,6,0.172421678481493,0.09434434434428532,0.12133891213379357,0.29778830963606284
90,0.36654967,0,3,1,7,0.17588876956978697,0.09642436636295691,0.12320848839961737,0.3072669826218261
90,0.36654967,0,3,1,8,0.177337142216895,0.09729563614007541,0.1237782469308595,0.31259873617631795
90,0.36654967,0,3,1,10,0.17914083259511782,0.09838258543104804,0.12446153846144271,0.31951026856177034
90,0.36654967,0,3,2,3,0.1711451966323543,0.09358052717865205,0.12086659064984454,0.2930489731431812
90,0.36654967,0,3,2,4,0.1830255008090045,0.10073091333449988,0.12755697285515472,0.32385466034691185
90,0.36654967,0,3,2,5,0.1875235076029297,0.10346258745398822,0.12881080682060322,0.34458925750326896
90,0.36654967,0,3,2,6,0.19141914191409112,0.10583941605833284,0.1302673796790515,0.3607819905206146
90,0.36654967,0,3,2,7,0.19426685914611555,0.10758337140240544,0.13145408875235037,0.37203791469120845
90,0.36654967,0,3,2,8,0.19651525215870597,0.1089641885765475,0.1325566967669866,0.37973933649214114
90,0.36654967,0,3,2,10,0.1990803900761967,0.11054374053077237,0.13376790928217983,0.38902053712403434
90,0.36654967,0,5,1,3,0.1711451966323543,0.09358052717865205,0.12086659064984454,0.2930489731431812
90,0.36654967,0,5,1,4,0.1830255008090045,0.10073091333449988,0.12755697285515472,0.32385466034691185
90,0.36654967,0,5,1,5,0.1875235076029297,0.10346258745398822,0.12881080682060322,0.34458925750326896
90,0.36654967,0,5,1,6,0.19141914191409112,0.10583941605833284,0.1302673796790515,0.3607819905206146
90,0.36654967,0,5,1,7,0.19426685914611555,0.10758337140240544,0.13145408875235037,0.37203791469120845
90,0.36654967,0,5,1,8,0.19651525215870597,0.1089641885765475,0.1325566967669866,0.37973933649214114
90,0.36654967,0,5,1,10,0.1990803900761967,0.11054374053077237,0.13376790928217983,0.38902053712403434
90,0.36654967,0,5,2,3,0.18544102019118733,0.10219619326494747,0.12685373655123083,0.34458925750326896
90,0.36654967,0,5,2,4,0.19724088414780386,0.10941055985428458,0.13321787322470854,0.37973933649214114
90,0.36654967,0,5,2,5,0.20174655155294147,0.11219027647474632,0.13472498343264763,0.40146129541784864
90,0.36654967,0,5,2,6,0.20100209174480663,0.11173003082574672,0.13335054540751737,0.4079778830955609
90,0.36654967,0,5,2,7,0.20174144739962804,0.11218711964856211,0.13289036544842167,0.41864139020454455
90,0.36654967,0,5,2,8,0.2089314940377793,0.11665187196484954,0.13687886771635507,0.44115323854573235
90,0.36654967,0,5,2,10,0.2163830270023978,0.12131698132404391,0.14047492781795975,0.47077409162624256
90,0.36654967,0,7,1,3,0.17985333847925242,0.09881255301096642,0.12476095769897899,0.3220774091620812
90,0.36654967,0,7,1,4,0.1907155845543958,0.10540939994081855,0.13077600117344082,0.3520932069503316
90,0.36654967,0,7,1,5,0.19829358552621387,0.11005876647451927,0.13403279599768342,0.38092417061536155
90,0.36654967,0,7,1,6,0.1969887708342832,0.1092554320504333,0.13220682663052907,0.3862559241698534
90,0.36654967,0,7,1,7,0.1971579051971593,0.10935949729902471,0.13172221484521862,0.3917851500782153
90,0.36654967,0,7,1,8,0.20640812738096784,0.1150808779477615,0.13711875405571894,0.41725908372745407
90,0.36654967,0,7,1,10,0.2064719358532806,0.11512054925748304,0.1361404833836001,0.4271327014209575
90,0.36654967,0,7,2,3,0.18445805798071271,0.1015994473669687,0.12203995659659025,0.37756714059957036
90,0.36654967,0,7,2,4,0.18728626973336426,0.10331817242086866,0.12276607504752025,0.3947472353862663
90,0.36654967,0,7,2,5,0.19053616408771565,0.10529979119016342,0.12336905871381443,0.4182464454968044
90,0.36654967,0,7,2,6,0.191818342463248,0.10608355729288732,0.12354882768033032,0.42871248025191805
90,0.36654967,0,7,2,7,0.19667686926095465,0.1090635759661951,0.12630573963825323,0.44411532385378333
90,0.36654967,0,7,2,8,0.2048426777158251,0.11410848240040675,0.13106876553431038,0.4686018957336718
90,0.36654967,0,7,2,10,0.20498637827119418,0.11419767281418654,0.12957937584796494,0.49032385465937933
90,0.36654967,0,9,1,3,0.18544102019118733,0.10219619326494747,0.12685373655123083,0.34458925750326896
90,0.36654967,0,9,1,4,0.19724088414780386,0.10941055985428458,0.13321787322470854,0.37973933649214114
90,0.36654967,0,9,1,5,0.20174655155294147,0.11219027647474632,0.13472498343264763,0.40146129541784864
90,0.36654967,0,9,1,6,0.20100209174480663,0.11173003082574672,0.13335054540751737,0.4079778830955609
90,0.36654967,0,9,1,7,0.20174144739962804,0.11218711964856211,0.13289036544842167,0.41864139020454455
90,0.36654967,0,9,1,8,0.2089314940377793,0.11665187196484954,0.13687886771635507,0.44115323854573235
90,0.36654967,0,9,1,10,0.2163830270023978,0.12131698132404391,0.14047492781795975,0.47077409162624256
90,0.36654967,0,9,2,3,0.1931920244295881,0.10692449172336485,0.12502906300852998,0.4247630331745167
90,0.36654967,0,9,2,4,0.19753629564443576,0.10959238467165751,0.12708026717982163,0.4433254344383031
90,0.36654967,0,9,2,5,0.19980285432640474,0.11098942957808257,0.1275931906507594,0.46030805687112897
90,0.36654967,0,9,2,6,0.1971421450526721,0.10934979954835751,0.12482903734869814,0.4686018957336718
90,0.36654967,0,9,2,7,0.19560123329899462,0.10840244235846697,0.12351383624935179,0.46978672985689224
90,0.36654967,0,9,2,8,0.20237514234577744,0.11257918552031104,0.1274329030935631,0.49131121642872966
90,0.36654967,0,9,2,10,0.20704494740189391,0.11547693128272936,0.1296924920127148,0.5130331753544372
90,0.36654967,10,0,1,3,0.148515472977121,0.08021426634114441,0.10886169135906058,0.23360979462829065
90,0.36654967,10,0,1,4,0.1577788649705493,0.08564599654754637,0.11428065201974283,0.25473933649238795
