percentile,threshold_high,min_area,kernel_size,iterations,distance_thresh,F1,IoU,Precision,Recall
92,0.023024464,100,9,2,3,0.5203622100622147,0.35168215735020836,0.41232445706360804,0.7051181102352951
92,0.023024464,100,9,2,4,0.5203622100622147,0.35168215735020836,0.41232445706360804,0.7051181102352951
92,0.023024464,100,9,2,5,0.5203622100622147,0.35168215735020836,0.41232445706360804,0.7051181102352951
92,0.023024464,100,9,2,6,0.5203622100622147,0.35168215735020836,0.41232445706360804,0.7051181102352951
92,0.023024464,100,9,2,7,0.5203622100622147,0.35168215735020836,0.41232445706360804,0.7051181102352951
92,0.023024464,100,9,2,8,0.5203622100622147,0.35168215735020836,0.41232445706360804,0.7051181102352951
92,0.023024464,100,9,2,10,0.5203622100622147,0.35168215735020836,0.41232445706360804,0.7051181102352951
92,0.023024464,75,9,2,3,0.5180043383945442,0.3495316159248312,0.40937142857111664,0.7051181102352951
92,0.023024464,75,9,2,4,0.5180043383945442,0.3495316159248312,0.40937142857111664,0.7051181102352951
92,0.023024464,75,9,2,5,0.5180043383945442,0.3495316159248312,0.40937142857111664,0.7051181102352951
92,0.023024464,75,9,2,6,0.5180043383945442,0.3495316159248312,0.40937142857111664,0.7051181102352951
92,0.023024464,75,9,2,7,0.5180043383945442,0.3495316159248312,0.40937142857111664,0.7051181102352951
92,0.023024464,75,9,2,8,0.5180043383945442,0.3495316159248312,0.40937142857111664,0.7051181102352951
92,0.023024464,75,9,2,10,0.5180043383945442,0.3495316159248312,0.40937142857111664,0.7051181102352951
92,0.023024464,50,9,2,3,0.5164608064591164,0.34812751069045733,0.4074467278377133,0.7051181102352951
92,0.023024464,50,9,2,4,0.5164608064591164,0.34812751069045733,0.4074467278377133,0.7051181102352951
92,0.023024464,50,9,2,5,0.5164608064591164,0.34812751069045733,0.4074467278377133,0.7051181102352951
92,0.023024464,50,9,2,6,0.5164608064591164,0.34812751069045733,0.4074467278377133,0.7051181102352951
92,0.023024464,50,9,2,7,0.5164608064591164,0.34812751069045733,0.4074467278377133,0.7051181102352951
92,0.023024464,50,9,2,8,0.5164608064591164,0.34812751069045733,0.4074467278377133,0.7051181102352951
92,0.023024464,50,9,2,10,0.5164608064591164,0.34812751069045733,0.4074467278377133,0.7051181102352951
95,0.030919734,100,9,2,3,0.5154429693846414,0.3472032119715784,0.5326147816341928,0.49934383202034205
95,0.030919734,100,9,2,4,0.5154429693846414,0.3472032119715784,0.5326147816341928,0.49934383202034205
95,0.030919734,100,9,2,5,0.5154429693846414,0.3472032119715784,0.5326147816341928,0.49934383202034205
95,0.030919734,100,9,2,6,0.5154429693846414,0.3472032119715784,0.5326147816341928,0.49934383202034205
95,0.030919734,100,9,2,7,0.5154429693846414,0.3472032119715784,0.5326147816341928,0.49934383202034205
95,0.030919734,100,9,2,8,0.5154429693846414,0.3472032119715784,0.5326147816341928,0.49934383202034205
95,0.030919734,100,9,2,10,0.5154429693846414,0.3472032119715784,0.5326147816341928,0.49934383202034205
94,0.027530037,100,9,2,3,0.5142925344629025,0.34616002570666277,0.4715989931044417,0.5654855643037199
94,0.027530037,100,9,2,4,0.5142925344629025,0.34616002570666277,0.4715989931044417,0.5654855643037199
94,0.027530037,100,9,2,5,0.5142925344629025,0.34616002570666277,0.4715989931044417,0.5654855643037199
94,0.027530037,100,9,2,6,0.5142925344629025,0.34616002570666277,0.4715989931044417,0.5654855643037199
94,0.027530037,100,9,2,7,0.5142925344629025,0.34616002570666277,0.4715989931044417,0.5654855643037199
94,0.027530037,100,9,2,8,0.5142925344629025,0.34616002570666277,0.4715989931044417,0.5654855643037199
94,0.027530037,100,9,2,10,0.5142925344629025,0.34616002570666277,0.4715989931044417,0.5654855643037199
92,0.023024464,40,9,2,3,0.5141626794255912,0.3460423777932981,0.4045933734936712,0.7051181102352951
92,0.023024464,40,9,2,4,0.5141626794255912,0.3460423777932981,0.4045933734936712,0.7051181102352951
92,0.023024464,40,9,2,5,0.5141626794255912,0.3460423777932981,0.4045933734936712,0.7051181102352951
92,0.023024464,40,9,2,6,0.5141626794255912,0.3460423777932981,0.4045933734936712,0.7051181102352951
92,0.023024464,40,9,2,7,0.5141626794255912,0.3460423777932981,0.4045933734936712,0.7051181102352951
92,0.023024464,40,9,2,8,0.5141626794255912,0.3460423777932981,0.4045933734936712,0.7051181102352951
92,0.023024464,40,9,2,10,0.5141626794255912,0.3460423777932981,0.4045933734936712,0.7051181102352951
92,0.023024464,30,9,2,3,0.5123974823571846,0.3444451567405959,0.4024116237264811,0.7051181102352951
92,0.023024464,30,9,2,4,0.5123974823571846,0.3444451567405959,0.4024116237264811,0.7051181102352951
92,0.023024464,30,9,2,5,0.5123974823571846,0.3444451567405959,0.4024116237264811,0.7051181102352951
92,0.023024464,30,9,2,6,0.5123974823571846,0.3444451567405959,0.4024116237264811,0.7051181102352951
92,0.023024464,30,9,2,7,0.5123974823571846,0.3444451567405959,0.4024116237264811,0.7051181102352951
92,0.023024464,30,9,2,8,0.5123974823571846,0.3444451567405959,0.4024116237264811,0.7051181102352951
92,0.023024464,30,9,2,10,0.5123974823571846,0.3444451567405959,0.4024116237264811,0.7051181102352951
95,0.030919734,75,9,2,3,0.5122509423798383,0.34431273187915634,0.5258430071855641,0.49934383202034205
