percentile,threshold_high,min_area,kernel_size,iterations,distance_thresh,F1,IoU,Precision,Recall
90,0.01688593,100,7,1,3,0.13568376068365715,0.07277936962744758,0.11057213930334506,0.17555292259049063
90,0.01688593,100,7,1,4,0.13568376068365715,0.07277936962744758,0.11057213930334506,0.17555292259049063
90,0.01688593,100,7,1,5,0.13568376068365715,0.07277936962744758,0.11057213930334506,0.17555292259049063
90,0.01688593,100,7,1,6,0.13568376068365715,0.07277936962744758,0.11057213930334506,0.17555292259049063
90,0.01688593,100,7,1,7,0.13568376068365715,0.07277936962744758,0.11057213930334506,0.17555292259049063
90,0.01688593,100,7,1,8,0.13568376068365715,0.07277936962744758,0.11057213930334506,0.17555292259049063
90,0.01688593,100,7,1,10,0.13568376068365715,0.07277936962744758,0.11057213930334506,0.17555292259049063
90,0.01688593,100,5,2,3,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,5,2,4,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,5,2,5,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,5,2,6,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,5,2,7,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,5,2,8,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,5,2,10,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,9,1,3,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,9,1,4,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,9,1,5,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,9,1,6,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,9,1,7,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,9,1,8,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,100,9,1,10,0.13521954804327563,0.07251231527088833,0.09800266311575853,0.21800947867255527
90,0.01688593,10,5,2,3,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,5,2,4,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,5,2,5,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,5,2,6,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,5,2,7,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,5,2,8,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,5,2,10,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,9,1,3,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,9,1,4,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,9,1,5,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,9,1,6,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,9,1,7,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,9,1,8,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,10,9,1,10,0.13475858755696926,0.07224726336118979,0.09682430100095199,0.2215639810422165
90,0.01688593,75,5,2,3,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,5,2,4,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,5,2,5,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,5,2,6,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,5,2,7,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,5,2,8,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,5,2,10,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,9,1,3,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,9,1,4,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,9,1,5,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,9,1,6,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,9,1,7,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,9,1,8,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,75,9,1,10,0.13443740867015683,0.07206266318533155,0.09718309859146373,0.21800947867255527
90,0.01688593,0,5,2,3,0.13396102735228296,0.07178897617674408,0.09592899206273284,0.22195892574995665
