percentile,threshold_high,min_area,kernel_size,iterations,distance_thresh,F1,IoU,Precision,Recall
95,0.3854108,100,9,2,3,0.7155453557188576,0.5570810607480186,0.6627880957701243,0.7774278215212895
95,0.3854108,40,9,2,3,0.7121048202904723,0.5529214112371169,0.656908405410671,0.7774278215212895
95,0.3854108,50,9,2,3,0.7121048202904723,0.5529214112371169,0.656908405410671,0.7774278215212895
95,0.3854108,75,9,2,3,0.7121048202904723,0.5529214112371169,0.656908405410671,0.7774278215212895
95,0.3854108,0,9,2,3,0.7107378524290877,0.5512748929829226,0.6545856353583926,0.7774278215212895
95,0.3854108,10,9,2,3,0.7107378524290877,0.5512748929829226,0.6545856353583926,0.7774278215212895
95,0.3854108,20,9,2,3,0.7107378524290877,0.5512748929829226,0.6545856353583926,0.7774278215212895
95,0.3854108,30,9,2,3,0.7107378524290877,0.5512748929829226,0.6545856353583926,0.7774278215212895
95,0.3854108,50,9,2,4,0.7086530515873517,0.5487704543371891,0.6439605234921219,0.7877952755895173
95,0.3854108,75,9,2,4,0.7086530515873517,0.5487704543371891,0.6439605234921219,0.7877952755895173
95,0.3854108,100,9,2,4,0.7086530515873517,0.5487704543371891,0.6439605234921219,0.7877952755895173
94,0.34550625,75,9,2,4,0.7082632647139993,0.5483031064818205,0.6344935064928472,0.801443569552754
94,0.34550625,100,9,2,4,0.7082632647139993,0.5483031064818205,0.6344935064928472,0.801443569552754
94,0.34550625,40,9,2,3,0.7078916372198422,0.5478577939830922,0.642094017093331,0.7887139107601198
94,0.34550625,50,9,2,3,0.7078916372198422,0.5478577939830922,0.642094017093331,0.7887139107601198
94,0.34550625,75,9,2,3,0.7078916372198422,0.5478577939830922,0.642094017093331,0.7887139107601198
94,0.34550625,100,9,2,3,0.7078916372198422,0.5478577939830922,0.642094017093331,0.7887139107601198
94,0.34550625,75,9,2,5,0.707655826557866,0.5475753604189186,0.6209869203323216,0.8224409448808104
94,0.34550625,100,9,2,5,0.707655826557866,0.5475753604189186,0.6209869203323216,0.8224409448808104
95,0.3854108,75,9,2,5,0.7070939531668448,0.5469028123882637,0.6295461530574433,0.8064304461931674
95,0.3854108,100,9,2,5,0.7070939531668448,0.5469028123882637,0.6295461530574433,0.8064304461931674
95,0.3854108,0,9,2,4,0.7069006123406106,0.5466715235401632,0.6410721913705242,0.7877952755895173
95,0.3854108,10,9,2,4,0.7069006123406106,0.5466715235401632,0.6410721913705242,0.7877952755895173
95,0.3854108,20,9,2,4,0.7069006123406106,0.5466715235401632,0.6410721913705242,0.7877952755895173
95,0.3854108,30,9,2,4,0.7069006123406106,0.5466715235401632,0.6410721913705242,0.7877952755895173
95,0.3854108,40,9,2,4,0.7069006123406106,0.5466715235401632,0.6410721913705242,0.7877952755895173
95,0.3854108,75,9,2,6,0.7068391031791343,0.5465979561528984,0.6204024982644786,0.8212598425186073
95,0.3854108,100,9,2,6,0.7068391031791343,0.5465979561528984,0.6204024982644786,0.8212598425186073
95,0.3854108,100,9,2,7,0.7065748556193322,0.5462819852305115,0.6124374278007196,0.8349081364818439
94,0.34550625,75,9,2,6,0.7062805148686716,0.5459301826910147,0.6117839292573897,0.835301837269245
94,0.34550625,100,9,2,6,0.7062805148686716,0.5459301826910147,0.6117839292573897,0.835301837269245
94,0.34550625,40,9,2,4,0.7062156692681664,0.5458526993202129,0.6312144702835852,0.801443569552754
94,0.34550625,50,9,2,4,0.7062156692681664,0.5458526993202129,0.6312144702835852,0.801443569552754
94,0.34550625,50,9,2,5,0.7052270297638523,0.544672344863076,0.6172559834525585,0.8224409448808104
94,0.34550625,0,9,2,3,0.7049439915543341,0.5443347522864375,0.637260099670621,0.7887139107601198
94,0.34550625,10,9,2,3,0.7049439915543341,0.5443347522864375,0.637260099670621,0.7887139107601198
94,0.34550625,20,9,2,3,0.7049439915543341,0.5443347522864375,0.637260099670621,0.7887139107601198
94,0.34550625,30,9,2,3,0.7049439915543341,0.5443347522864375,0.637260099670621,0.7887139107601198
95,0.3854108,0,9,2,5,0.7047018348619812,0.5440460380694607,0.6257637474535379,0.8064304461931674
95,0.3854108,10,9,2,5,0.7047018348619812,0.5440460380694607,0.6257637474535379,0.8064304461931674
95,0.3854108,20,9,2,5,0.7047018348619812,0.5440460380694607,0.6257637474535379,0.8064304461931674
95,0.3854108,30,9,2,5,0.7047018348619812,0.5440460380694607,0.6257637474535379,0.8064304461931674
95,0.3854108,40,9,2,5,0.7047018348619812,0.5440460380694607,0.6257637474535379,0.8064304461931674
95,0.3854108,50,9,2,5,0.7047018348619812,0.5440460380694607,0.6257637474535379,0.8064304461931674
94,0.34550625,0,9,2,4,0.704626745124781,0.5439565333566011,0.6286802553009793,0.801443569552754
94,0.34550625,10,9,2,4,0.704626745124781,0.5439565333566011,0.6286802553009793,0.801443569552754
94,0.34550625,20,9,2,4,0.704626745124781,0.5439565333566011,0.6286802553009793,0.801443569552754
94,0.34550625,30,9,2,4,0.704626745124781,0.5439565333566011,0.6286802553009793,0.801443569552754
95,0.3854108,0,9,2,6,0.7042538825114201,0.5435122459609661,0.6164302600466741,0.8212598425186073
95,0.3854108,10,9,2,6,0.7042538825114201,0.5435122459609661,0.6164302600466741,0.8212598425186073
