percentile,threshold_high,min_area,kernel_size,iterations,distance_thresh,F1,IoU,Precision,Recall
90,0.2881669,0,0,1,3,0.1305932374973369,0.06985811762149911,0.07009345794384905,0.954142011820205
90,0.2881669,0,0,1,4,0.1291483406636054,0.0690318444111252,0.06925385934812472,0.9556213017610115
90,0.2881669,0,0,1,5,0.1279841505694621,0.06836702296532081,0.06858477545379701,0.9556213017610115
90,0.2881669,0,0,1,6,0.12751677852336407,0.06810035842286727,0.06831641285948782,0.9556213017610115
90,0.2881669,0,0,1,7,0.1272279665188309,0.06793563992000427,0.06815064880254441,0.9556213017610115
90,0.2881669,0,0,1,8,0.12695293308428127,0.06777882698555474,0.06799284285857489,0.9556213017610115
90,0.2881669,0,0,1,10,0.126703932529051,0.06763689665996478,0.06785001575457635,0.9556213017610115
90,0.2881669,0,0,2,3,0.1305932374973369,0.06985811762149911,0.07009345794384905,0.954142011820205
90,0.2881669,0,0,2,4,0.1291483406636054,0.0690318444111252,0.06925385934812472,0.9556213017610115
90,0.2881669,0,0,2,5,0.1279841505694621,0.06836702296532081,0.06858477545379701,0.9556213017610115
90,0.2881669,0,0,2,6,0.12751677852336407,0.06810035842286727,0.06831641285948782,0.9556213017610115
90,0.2881669,0,0,2,7,0.1272279665188309,0.06793563992000427,0.06815064880254441,0.9556213017610115
90,0.2881669,0,0,2,8,0.12695293308428127,0.06777882698555474,0.06799284285857489,0.9556213017610115
90,0.2881669,0,0,2,10,0.126703932529051,0.06763689665996478,0.06785001575457635,0.9556213017610115
90,0.2881669,0,3,1,3,0.12757241782880369,0.06813209709337625,0.06828860812355822,0.9674556212874637
90,0.2881669,0,3,1,4,0.12592237661703312,0.06719165473505094,0.06732247156464051,0.9718934911098832
90,0.2881669,0,3,1,5,0.12477447535834699,0.0665383836337183,0.06666666666659901,0.9718934911098832
90,0.2881669,0,3,1,6,0.12432585864308418,0.06628329297814135,0.06641059334876537,0.9718934911098832
90,0.2881669,0,3,1,7,0.12409103786937001,0.0661498187675532,0.06627660647627732,0.9718934911098832
90,0.2881669,0,3,1,8,0.1238104211814531,0.06599035757325633,0.06611653416517448,0.9718934911098832
90,0.2881669,0,3,1,10,0.12360079014192116,0.06587126528968731,0.06599698643890908,0.9718934911098832
90,0.2881669,0,3,2,3,0.12219812002881218,0.06507508663836631,0.06507508663836631,0.999999999985207
90,0.2881669,0,3,2,4,0.11990067399776524,0.06377358490560021,0.06377358490560021,0.999999999985207
90,0.2881669,0,3,2,5,0.11808891606243506,0.06274946625817994,0.06274946625817994,0.999999999985207
90,0.2881669,0,3,2,6,0.11701575212037647,0.062143776429433584,0.062143776429433584,0.999999999985207
90,0.2881669,0,3,2,7,0.11646136618131064,0.06183115338876627,0.06183115338876627,0.999999999985207
90,0.2881669,0,3,2,8,0.1161512027490411,0.06165632980658367,0.06165632980658367,0.999999999985207
90,0.2881669,0,3,2,10,0.11581291759455557,0.06146572104013323,0.06146572104013323,0.999999999985207
90,0.2881669,0,5,1,3,0.12219812002881218,0.06507508663836631,0.06507508663836631,0.999999999985207
90,0.2881669,0,5,1,4,0.11990067399776524,0.06377358490560021,0.06377358490560021,0.999999999985207
90,0.2881669,0,5,1,5,0.11808891606243506,0.06274946625817994,0.06274946625817994,0.999999999985207
90,0.2881669,0,5,1,6,0.11701575212037647,0.062143776429433584,0.062143776429433584,0.999999999985207
90,0.2881669,0,5,1,7,0.11646136618131064,0.06183115338876627,0.06183115338876627,0.999999999985207
90,0.2881669,0,5,1,8,0.1161512027490411,0.06165632980658367,0.06165632980658367,0.999999999985207
